brand_id;brand;model_id;model;version_id;version;trim;category;energy;horsepower_ch;fiscal_hp_cv;mixed_consumption_l_100km;model_year;public_price_mad;promo_price_mad;turnkey_price_mad;registration_fee_mad;paint_fee_mad;luxury_tax_mad;depreciation_y1_pct;depreciation_y2_pct;depreciation_y3_pct;source_path
18;Honda;782;HR-V;21674;1.5 i-MMD e:HEV 129 CVT;Sport;4x4 / SUV / Crossover;Hybride;129;9;"4,0";2026;380000;1;331255;8255;0;0;25;15;10;https://www.wandaloo.com/neuf/honda/hr-v/fiche-technique/1-5-i-mmd-ehev-129-cvt-sport/21674.html
18;Honda;226;Jazz;21671;1.5 i-MMD Hybride 109 CVT;Élégance;Citadine;Hybride;109;9;"3,8";2026;258000;1;223255;7055;0;0;25;15;10;https://www.wandaloo.com/neuf/honda/jazz/fiche-technique/1-5-i-mmd-hybride-109-cvt-elegance/21671.html
19;Hyundai;234;Accent;21710;1.5 MPI 115 AT;Attractive;Citadine;Essence;115;9;"6,0";2026;210900;0;0;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/accent/fiche-technique/1-5-mpi-115-at-attractive/21710.html
19;Hyundai;234;Accent;21711;1.5 MPI 115 AT;Inventive;Citadine;Essence;115;9;"6,0";2026;237900;0;0;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/accent/fiche-technique/1-5-mpi-115-at-inventive/21711.html
19;Hyundai;234;Accent;21712;1.5 MPI 115 AT;Seductive;Citadine;Essence;115;9;"6,0";2026;264900;0;0;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/accent/fiche-technique/1-5-mpi-115-at-seductive/21712.html
19;Hyundai;950;Creta;21707;1.5 MPi 115 AT;Luxe;4x4 / SUV / Crossover;Essence;115;9;"5,8";2026;280900;0;294895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/creta/fiche-technique/1-5-mpi-115-at-luxe/21707.html
19;Hyundai;950;Creta;21706;1.5 MPi 115 AT;Premium;4x4 / SUV / Crossover;Essence;115;9;"5,8";2026;264900;0;278895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/creta/fiche-technique/1-5-mpi-115-at-premium/21706.html
19;Hyundai;950;Creta;21708;1.5 MPi 115 AT;Ultimate;4x4 / SUV / Crossover;Essence;115;9;"5,8";2026;321900;0;335895;8995;5000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/creta/fiche-technique/1-5-mpi-115-at-ultimate/21708.html
19;Hyundai;237;Elantra;21718;1.6 GDI Hybride 141 AT;Inventive;Familiale;Hybride;141;9;"4,4";2026;327900;0;342895;8995;6000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/elantra/fiche-technique/1-6-gdi-hybride-141-at-inventive/21718.html
19;Hyundai;237;Elantra;21719;1.6 GDI Hybride 141 AT;Inventive+;Familiale;Hybride;141;9;"4,4";2026;335900;0;350895;8995;6000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/elantra/fiche-technique/1-6-gdi-hybride-141-at-inventive-/21719.html
