source;brand_id;brand;brand_slug;model_id;model;model_slug;version_id;version;version_slug;model_image_url;source_url
moteur.ma;88;Seat;seat;1045;Leon;leon;4543;"FR MT 2,0L TDI 150 DSG 7";fr-mt-20l-tdi-150-dsg-7;https://v3.moteur.ma/storage/media/images/models/nouvelle-leon-538.png;https://www.moteur.ma/fr/neuf/voiture/seat/leon/fr-mt-20l-tdi-150-dsg-7/
moteur.ma;88;Seat;seat;1045;Leon;leon;3842;"TSI FR DSG 2,0L TSI 150 DSG 7";tsi-fr-dsg-20l-tsi-150-dsg-7;https://v3.moteur.ma/storage/media/images/models/nouvelle-leon-538.png;https://www.moteur.ma/fr/neuf/voiture/seat/leon/tsi-fr-dsg-20l-tsi-150-dsg-7/
moteur.ma;88;Seat;seat;10847;Tarraco;tarraco;3453;2.0 TDI 150 DSG Style+;20-tdi-150-dsg-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-tarraco-504.png;https://www.moteur.ma/fr/neuf/voiture/seat/tarraco/20-tdi-150-dsg-style/
moteur.ma;88;Seat;seat;10847;Tarraco;tarraco;4056;2.0 TDI 150 DSG Urban;20-tdi-150-dsg-urban;https://v3.moteur.ma/storage/media/images/models/nouvelle-tarraco-504.png;https://www.moteur.ma/fr/neuf/voiture/seat/tarraco/20-tdi-150-dsg-urban/
moteur.ma;494;Seres;seres;10634;3;3;2748;53 KWH;53-kwh;https://v3.moteur.ma/storage/media/images/models/nouvelle-3-584.png;https://www.moteur.ma/fr/neuf/voiture/seres/3/53-kwh/
moteur.ma;494;Seres;seres;11067;5;5;2747;430 kW AT 4WD Premium;430-kw-at-4wd-premium;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-826.png;https://www.moteur.ma/fr/neuf/voiture/seres/5/430-kw-at-4wd-premium/
moteur.ma;494;Seres;seres;11067;5;5;2746;BEV 88 KWH 2WD;bev-88-kwh-2wd;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-826.png;https://www.moteur.ma/fr/neuf/voiture/seres/5/bev-88-kwh-2wd/
moteur.ma;91;Skoda;skoda;1060;Fabia;fabia;1717;1.0 MPI 80 Active;10-mpi-80-active;https://v3.moteur.ma/storage/media/images/models/nouvelle-fabia-977.png;https://www.moteur.ma/fr/neuf/voiture/skoda/fabia/10-mpi-80-active/
moteur.ma;91;Skoda;skoda;1060;Fabia;fabia;3726;1.0 MPI 80 Selection;10-mpi-80-selection;https://v3.moteur.ma/storage/media/images/models/nouvelle-fabia-977.png;https://www.moteur.ma/fr/neuf/voiture/skoda/fabia/10-mpi-80-selection/
moteur.ma;91;Skoda;skoda;1060;Fabia;fabia;3744;1.0 TSI 115 DSG Style;10-tsi-115-dsg-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-fabia-977.png;https://www.moteur.ma/fr/neuf/voiture/skoda/fabia/10-tsi-115-dsg-style/
moteur.ma;91;Skoda;skoda;1060;Fabia;fabia;3745;1.0 TSI 115 DSG Style Bi-Ton;10-tsi-115-dsg-style-bi-ton;https://v3.moteur.ma/storage/media/images/models/nouvelle-fabia-977.png;https://www.moteur.ma/fr/neuf/voiture/skoda/fabia/10-tsi-115-dsg-style-bi-ton/
moteur.ma;91;Skoda;skoda;10385;Kamiq;kamiq;3727;1.0 TSI 115 DSG Active;10-tsi-115-dsg-active;https://v3.moteur.ma/storage/media/images/models/nouvelle-kamiq-608.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kamiq/10-tsi-115-dsg-active/
moteur.ma;91;Skoda;skoda;10385;Kamiq;kamiq;3605;1.0 TSI 115ch Edition Sport;10-tsi-115ch-edition-sport;https://v3.moteur.ma/storage/media/images/models/nouvelle-kamiq-608.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kamiq/10-tsi-115ch-edition-sport/
moteur.ma;91;Skoda;skoda;10385;Kamiq;kamiq;2355;1.0 TSI 115ch Elegance;10-tsi-115ch-elegance;https://v3.moteur.ma/storage/media/images/models/nouvelle-kamiq-608.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kamiq/10-tsi-115ch-elegance/
moteur.ma;91;Skoda;skoda;10385;Kamiq;kamiq;3604;1.0 TSI 115ch Style;10-tsi-115ch-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-kamiq-608.png;https://www.moteur.ma/fr/neuf/voiture/skoda/kamiq/10-tsi-115ch-style/
